hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
covid19aus	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
novaxdjocovid	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
triplevaxxed	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
boosterdose	1236324668640047105	4.87500000000000000409	.00892857142857142857	.00183150183150183150	1	112	5	2730
omicron	1236324668640047105	.44318181818181818175	.00892857142857142857	.02014652014652014652	1	112	55	2730
buckabeer	1236324668640047105	2.70833333333333333560	.00892857142857142857	.00329670329670329670	1	112	9	2730
fireford	1236324668640047105	8.12500000000000000682	.00892857142857142857	.00109890109890109890	1	112	3	2730
firelecce	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
firedrmoore	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
fireelliott	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
fordfailedthepeople	1236324668640047105	2.86764705882352941417	.01785714285714285714	.00622710622710622710	2	112	17	2730
fordfailedontario	1236324668640047105	2.03125000000000000170	.01785714285714285714	.00879120879120879120	2	112	24	2730
ford	1236324668640047105	16.25000000000000001592	.14285714285714285714	.00879120879120879120	16	112	24	2730
n95	1241938664	12.78688524590163934534	.28571428571428571428	.02234432234432234432	2	7	61	2730
covidisairborne	1241938664	4.48275862068965517258	.14285714285714285714	.03186813186813186813	1	7	87	2730
n95masks	1241938664	195.00000000000000019110	.14285714285714285714	.00073260073260073260	1	7	2	2730
bonniehenry	1241938664	20.52631578947368423064	.14285714285714285714	.00695970695970695970	1	7	19	2730
bcpoli	1241938664	2.19101123595505617990	.14285714285714285714	.06520146520146520146	1	7	178	2730
bced	1241938664	3.07086614173228346493	.14285714285714285714	.04652014652014652014	1	7	127	2730
covid19bc	1241938664	3.19672131147540983633	.14285714285714285714	.04468864468864468864	1	7	122	2730
covidisntover	1443759943	4.70689655172413793541	.03448275862068965517	.00732600732600732600	1	29	20	2730
vaccinessavelives	1443759943	18.82758620689655174164	.03448275862068965517	.00183150183150183150	1	29	5	2730
standwithukraine	1443759943	.88530969624905415629	.10344827586206896551	.11684981684981684981	3	29	319	2730
putinhitler	1443759943	.65830721003134796236	.10344827586206896551	.15714285714285714285	3	29	429	2730
putinwarcriminal	1443759943	.49286874887163747972	.03448275862068965517	.06996336996336996336	1	29	191	2730
stopputinnow	1443759943	1.30747126436781609201	.10344827586206896551	.07912087912087912087	3	29	216	2730
russiasanctions	1443759943	1.33845399575093969606	.10344827586206896551	.07728937728937728937	3	29	211	2730
boycottrussia	1443759943	1.36431784107946026987	.10344827586206896551	.07582417582417582417	3	29	207	2730
putinhitler	1443759943	.65830721003134796236	.10344827586206896551	.15714285714285714285	3	29	429	2730
standwithukraine	1443759943	.88530969624905415629	.10344827586206896551	.11684981684981684981	3	29	319	2730
stopputinnow	1443759943	1.30747126436781609201	.10344827586206896551	.07912087912087912087	3	29	216	2730
russiasanctions	1443759943	1.33845399575093969606	.10344827586206896551	.07728937728937728937	3	29	211	2730
boycottrussia	1443759943	1.36431784107946026987	.10344827586206896551	.07582417582417582417	3	29	207	2730
genocide	1443759943	1.55599886007409518385	.06896551724137931034	.04432234432234432234	2	29	121	2730
gaza	1443759943	7.53103448275862069665	.06896551724137931034	.00915750915750915750	2	29	25	2730
idlib	1443759943	8.96551724137931035316	.06896551724137931034	.00769230769230769230	2	29	21	2730
yemen	1443759943	9.41379310344827587082	.06896551724137931034	.00732600732600732600	2	29	20	2730
ukraine	1443759943	5.06117908787541713068	.17241379310344827586	.03406593406593406593	5	29	93	2730
standwithukraine	1443759943	.88530969624905415629	.10344827586206896551	.11684981684981684981	3	29	319	2730
