hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
ukraine	1005148131091275777	1.29771398192450824030	.33333333333333333333	.25686194182712003277	3	9	2508	9764
wearamask	1005148131091275777	43.39555555555555567308	.11111111111111111111	.00256042605489553461	1	9	25	9764
cdc	1005148131091275777	180.81481481481481718770	.11111111111111111111	.00061450225317492830	1	9	6	9764
delta	1005148131091275777	154.98412698412698471968	.11111111111111111111	.00071691929537074969	1	9	7	9764
nature	1005237882	406.83333333333333371101	1.00000000000000000000	.00245800901269971323	2	2	24	9764
beautyofnature	1005237882	4882.00000000000022300976	.50000000000000000000	.00010241704219582138	1	2	1	9764
covid19	1005846500583321601	.35384503877654562579	.03703703703703703703	.10467021712412945514	1	27	1022	9764
omicron	1005846500583321601	1.12657205492096457813	.03703703703703703703	.03287587054485866448	1	27	321	9764
ba2variant	1005846500583321601	27.81766381766381767565	.03703703703703703703	.00133142154854567800	1	27	13	9764
alzheimers	1005846500583321601	36.16296296296296319563	.03703703703703703703	.00102417042195821384	1	27	10	9764
dementia	1005846500583321601	30.13580246913580261398	.03703703703703703703	.00122900450634985661	1	27	12	9764
science	1005846500583321601	27.81766381766381767565	.03703703703703703703	.00133142154854567800	1	27	13	9764
mitchplease	1005846500583321601	10.63616557734204793750	.11111111111111111111	.01044653830397378123	3	27	102	9764
confirmlipstadt	1005846500583321601	180.81481481481482304008	.03703703703703703703	.00020483408439164276	1	27	2	9764
abbottfailedtexasagain	1005846500583321601	180.81481481481482304008	.03703703703703703703	.00020483408439164276	1	27	2	9764
amirlocke	1005846500583321601	45.20370370370370383513	.07407407407407407407	.00163867267513314215	2	27	16	9764
icac	1005846500583321601	90.40740740740740931319	.03703703703703703703	.00040966816878328553	1	27	4	9764
lnp	1005846500583321601	21.27233115468409597299	.03703703703703703703	.00174108971732896353	1	27	17	9764
ukraine	1005846500583321601	.14419044243605647111	.03703703703703703703	.25686194182712003277	1	27	2508	9764
democrats	1005846500583321601	51.66137566137566156393	.03703703703703703703	.00071691929537074969	1	27	7	9764
fundthesepolice	1005846500583321601	361.62962962962964608016	.03703703703703703703	.00010241704219582138	1	27	1	9764
johnsonout16	1005846500583321601	90.40740740740740931319	.03703703703703703703	.00040966816878328553	1	27	4	9764
liztruss	1005846500583321601	120.54320987654321143677	.03703703703703703703	.00030725112658746415	1	27	3	9764
russian	1005846500583321601	1.77269426289034132198	.07407407407407407407	.04178615321589512494	2	27	408	9764
torybrexit	1005846500583321601	60.27160493827160571838	.03703703703703703703	.00061450225317492830	1	27	6	9764
fsbletters	1005846500583321601	36.16296296296296319563	.03703703703703703703	.00102417042195821384	1	27	10	9764
partygate	1005846500583321601	2.05471380471380471380	.03703703703703703703	.01802539942646456370	1	27	176	9764
bucha	1005846500583321601	4.30511463844797178198	.03703703703703703703	.00860303154444899631	1	27	84	9764
kyiv	1005846500583321601	1.11614083219021490624	.03703703703703703703	.03318312167144612863	1	27	324	9764
russians	1005846500583321601	6.82320055904961566209	.03703703703703703703	.00542810323637853338	1	27	53	9764
americacompetes	100588178	488.20000000000000323383	.25000000000000000000	.00051208521097910692	1	4	5	9764
confirmjudgejackson	100588178	488.20000000000000323383	.25000000000000000000	.00051208521097910692	1	4	5	9764
todayinhistory	100588178	2441.00000000000011150488	.25000000000000000000	.00010241704219582138	1	4	1	9764
demvoice1	100588178	87.17857142857142860169	.25000000000000000000	.00286767718148299877	1	4	28	9764
flight1549	1006165181871910912	650.93333333333334188225	.20000000000000000000	.00030725112658746415	1	5	3	9764
newbrighton	1006165181871910912	1952.80000000000008920390	.20000000000000000000	.00010241704219582138	1	5	1	9764
fbr	1006165181871910912	216.97777777777777827345	.20000000000000000000	.00092175337976239246	1	5	9	9764
piano	1006165181871910912	976.40000000000004460195	.20000000000000000000	.00020483408439164276	1	5	2	9764
resisters	1006165181871910912	488.20000000000001038401	.20000000000000000000	.00040966816878328553	1	5	4	9764
ettd	1006419421244678144	221.90909090909091380869	.09090909090909090909	.00040966816878328553	1	11	4	9764
botd	1006419421244678144	443.81818181818183845099	.09090909090909090909	.00020483408439164276	1	11	2	9764
notley2023	1006419421244678144	443.81818181818183845099	.09090909090909090909	.00020483408439164276	1	11	2	9764
ba2	1006419421244678144	3.76117103235747303604	.09090909090909090909	.02417042195821384678	1	11	236	9764
billsmafia	1006419421244678144	443.81818181818183845099	.09090909090909090909	.00020483408439164276	1	11	2	9764
chiefskingdom	1006419421244678144	295.87878787878788267079	.09090909090909090909	.00030725112658746415	1	11	3	9764
bufvskc	1006419421244678144	88.76363636363636422344	.09090909090909090909	.00102417042195821384	1	11	10	9764
nflplayoffs	1006419421244678144	80.69421487603305795518	.09090909090909090909	.00112658746415403523	1	11	11	9764
nfl	1006419421244678144	197.25252525252525297389	.18181818181818181818	.00092175337976239246	2	11	9	9764
archbishopofcanterbury	1006419421244678144	887.63636363636367690198	.09090909090909090909	.00010241704219582138	1	11	1	9764
boris	1006419421244678144	59.17575757575757576376	.09090909090909090909	.00153625563293732077	1	11	15	9764
ba2	1007269733316677639	2.06864406779661016984	.05000000000000000000	.02417042195821384678	1	20	236	9764
denazification	1007269733316677639	488.20000000000002230097	.05000000000000000000	.00010241704219582138	1	20	1	9764
putin	1007269733316677639	2.03416666666666666689	.05000000000000000000	.02458009012699713232	1	20	240	9764
howishunter	1007269733316677639	244.10000000000001115048	.05000000000000000000	.00020483408439164276	1	20	2	9764
ukraine	1007269733316677639	.19465709728867623604	.05000000000000000000	.25686194182712003277	1	20	2508	9764
russia	1007269733316677639	1.41507246376811594205	.15000000000000000000	.10600163867267513314	3	20	1035	9764
grad	1007269733316677639	488.20000000000002230097	.05000000000000000000	.00010241704219582138	1	20	1	9764
kharkiv	1007269733316677639	3.87460317460317460602	.05000000000000000000	.01290454731667349446	1	20	126	9764
russian	1007269733316677639	2.39313725490196078481	.10000000000000000000	.04178615321589512494	2	20	408	9764
startrekdiscovery	1007269733316677639	162.73333333333333547056	.05000000000000000000	.00030725112658746415	1	20	3	9764
unionyes	1007269733316677639	69.74285714285714312455	.05000000000000000000	.00071691929537074969	1	20	7	9764
bamazonunion	1007269733316677639	162.73333333333333547056	.05000000000000000000	.00030725112658746415	1	20	3	9764
vladimirov	1007269733316677639	122.05000000000000259600	.05000000000000000000	.00040966816878328553	1	20	4	9764
realism	1007269733316677639	37.55384615384615386926	.05000000000000000000	.00133142154854567800	1	20	13	9764
russian	1007269733316677639	2.39313725490196078481	.10000000000000000000	.04178615321589512494	2	20	408	9764
odesa	1007269733316677639	32.54666666666666667039	.05000000000000000000	.00153625563293732077	1	20	15	9764
bcpoli	1007269733316677639	9.04074074074074074504	.05000000000000000000	.00553052027857435477	1	20	54	9764
breaking	1007269733316677639	1.16515513126491646778	.05000000000000000000	.04291274068004916018	1	20	419	9764
netzeroviajusttransition	1007269733316677639	488.20000000000002230097	.05000000000000000000	.00010241704219582138	1	20	1	9764
yyc	1007269733316677639	6.02716049382716050033	.05000000000000000000	.00829578041786153215	1	20	81	9764
nato	1008688766062661632	43.58928571428571430084	.50000000000000000000	.01147070872593199508	1	2	112	9764
sisu	1008688766062661632	4882.00000000000022300976	.50000000000000000000	.00010241704219582138	1	2	1	9764
vegan	1009064359664816129	54.24444444444444445066	.25000000000000000000	.00460876689881196231	1	4	45	9764
เจ้าแก้มก้อน	1009064359664816129	9.04074074074074074177	.25000000000000000000	.02765260139287177386	1	4	270	9764
fluke_natouch	1009064359664816129	10.38723404255319149342	.25000000000000000000	.02406800491601802539	1	4	235	9764
anonymous	1009064359664816129	20.68644067796610169842	.25000000000000000000	.01208521097910692339	1	4	118	9764
israel	1009546724	3.00615763546798029552	.01724137931034482758	.00573535436296599754	1	58	56	9764
ukraine	1009546724	.20136941098828576139	.05172413793103448275	.25686194182712003277	3	58	2508	9764
russia	1009546724	.32530401465933699815	.03448275862068965517	.10600163867267513314	2	58	1035	9764
auspol	1009546724	.48374950455806579462	.01724137931034482758	.03564113068414584186	1	58	348	9764
lismoreflood	1009546724	84.17241379310345209055	.01724137931034482758	.00020483408439164276	1	58	2	9764
rentalsnapshot2022	1009546724	168.34482758620690418111	.01724137931034482758	.00010241704219582138	1	58	1	9764
ohmfluke	1009546724	6.12163009404388715485	.03448275862068965517	.00563293732077017615	2	58	55	9764
ohmflukexwetv	1009546724	42.08620689655172501795	.01724137931034482758	.00040966816878328553	1	58	4	9764
freedomconvoy	1009546724	9.61970443349753695518	.03448275862068965517	.00358459647685374846	2	58	35	9764
mitchplease	1009546724	1.65043948613928330006	.01724137931034482758	.01044653830397378123	1	58	102	9764
ba2	1009546724	.71332554061952074796	.01724137931034482758	.02417042195821384678	1	58	236	9764
burnsnight	1009546724	84.17241379310345209055	.01724137931034482758	.00020483408439164276	1	58	2	9764
conservatives	1009546724	33.66896551724137952124	.01724137931034482758	.00051208521097910692	1	58	5	9764
lawandorder	1009546724	56.11494252873563290068	.01724137931034482758	.00030725112658746415	1	58	3	9764
kyiv	1009546724	.51958280119199659419	.01724137931034482758	.03318312167144612863	1	58	324	9764
russian	1009546724	.41260987153482082481	.01724137931034482758	.04178615321589512494	1	58	408	9764
anonymous	1009546724	1.42665108123904149592	.01724137931034482758	.01208521097910692339	1	58	118	9764
ukraine	1009546724	.20136941098828576139	.05172413793103448275	.25686194182712003277	3	58	2508	9764
stopputinswar	1009546724	11.22298850574712643402	.01724137931034482758	.00153625563293732077	1	58	15	9764
freeukraine	1009546724	15.30407523510971788269	.01724137931034482758	.00112658746415403523	1	58	11	9764
weareallukrainians	1009546724	21.04310344827586225214	.01724137931034482758	.00081933633756657107	1	58	8	9764
bigben	1009546724	168.34482758620690418111	.01724137931034482758	.00010241704219582138	1	58	1	9764
parliament	1009546724	42.08620689655172501795	.01724137931034482758	.00040966816878328553	1	58	4	9764
borisjohnson	1009546724	2.18629646215853112332	.01724137931034482758	.00788611224907824662	1	58	77	9764
breaking	1009546724	1.20533289441198255268	.05172413793103448275	.04291274068004916018	3	58	419	9764
costadelcaerdydd	1009546724	168.34482758620690418111	.01724137931034482758	.00010241704219582138	1	58	1	9764
djokovic	1009546724	12.94960212201591512642	.03448275862068965517	.00266284309709135600	2	58	26	9764
fr4052	1009546724	84.17241379310345209055	.01724137931034482758	.00020483408439164276	1	58	2	9764
itvnews	1009546724	67.33793103448275906202	.03448275862068965517	.00051208521097910692	2	58	5	9764
kennethbranagh	1009546724	56.11494252873563290068	.01724137931034482758	.00030725112658746415	1	58	3	9764
leahbell	1009546724	168.34482758620690418111	.01724137931034482758	.00010241704219582138	1	58	1	9764
novakdjokovic	1009546724	56.11494252873563290068	.01724137931034482758	.00030725112658746415	1	58	3	9764
peston	1009546724	28.05747126436781645034	.01724137931034482758	.00061450225317492830	1	58	6	9764
pmqs	1009546724	.86330680813439434107	.01724137931034482758	.01997132322818517001	1	58	195	9764
queen	1009546724	56.11494252873563290068	.01724137931034482758	.00030725112658746415	1	58	3	9764
suegrayreport	1009546724	8.41724137931034483921	.01724137931034482758	.00204834084391642769	1	58	20	9764
theapprentice	1009546724	24.04926108374384244808	.01724137931034482758	.00071691929537074969	1	58	7	9764
thegnshow	1009546724	18.70498084291187743063	.01724137931034482758	.00092175337976239246	1	58	9	9764
tomorrowspaperstoday	1009546724	2.15826702033598585377	.01724137931034482758	.00798852929127406800	1	58	78	9764
triggerpoint	1009546724	84.17241379310345006031	.03448275862068965517	.00040966816878328553	2	58	4	9764
itvnews	1009546724	67.33793103448275906202	.03448275862068965517	.00051208521097910692	2	58	5	9764
itv	1009546724	126.25862068965517507827	.05172413793103448275	.00040966816878328553	3	58	4	9764
breaking	1009546724	1.20533289441198255268	.05172413793103448275	.04291274068004916018	3	58	419	9764
cityonfire	1009546724	33.66896551724137952124	.01724137931034482758	.00051208521097910692	1	58	5	9764
thankyoudonwinslow	1009546724	72.14778325123152735820	.05172413793103448275	.00071691929537074969	3	58	7	9764
omicron	1009546724	.52443871522182833800	.01724137931034482758	.03287587054485866448	1	58	321	9764
